SPEED,IMEP,ANGLE,VVT,TORQUE,BSFC,COV
2800,1701.8,5.172657473,48.16950313,200.2,307.22,1.27
2800,1782.85,1.580786133,0.089428711,210.5,325.93,1.62
2800,1791.73,1.546118164,11.66291504,211.2,314.94,2.02
2800,1806.51,0.916040039,23.50598145,213.4,313.07,1.71
2800,1791.52,0.494091797,34.93382568,210.9,325.23,1.51
2800,1766.91,2.386254883,48.08729248,209.2,335.23,1.43
,,,,,,
,,,,,,
3200,202.11,32.68442383,0.185766602,14,595.16,1.66
3200,197.15,33.23056045,15.32725694,13.4,609.4,1.54
3200,200.86,36.25820313,26.43648682,13.5,597.52,1.54
3200,201.16,45.60869141,35.9317749,12.4,634.03,4.08
3200,196.59,43.77271616,47.45473885,10.5,801.75,32.38
3200,297.06,28.22597656,0.154919434,25.9,414.51,1.24
3200,301.4,28.27993164,13.1918335,26.5,409.81,1.95
3200,302.24,29.84308979,24.71529,26.5,406.59,1.7
3200,296.66,34.25610352,35.88181152,25.7,404.67,1.7
3200,299.93,45.14550781,47.32694092,24.1,426.49,5.04
3200,400.85,24.91037598,0.042590332,38.1,358.09,1.2
3200,399.16,24.74598983,13.69175469,38.3,354.27,1.18
3200,401.65,25.24169922,24.07220459,38.6,352.63,1.04
3200,402.89,27.08731905,35.51918281,38.8,346.42,1.12
3200,399.75,31.13465865,47.00629646,37.9,343.54,1.27
3200,500.83,23.43278809,0.040625,50.9,320.23,0.99
3200,507.47,22.98952637,12.2642334,51.8,317.45,0.99
3200,501.43,23.46385955,23.93851477,51.3,317.07,0.89
3200,498.46,25.01093016,35.49025577,51,313.86,1.09
3200,501.63,28.21050959,47.08123044,50.6,308.92,1.09
3200,598.24,22.21403071,0.003423318,63.6,294.51,0.9
3200,595.75,22.76547852,12.20793457,63.7,295.2,1.16
3200,598.16,22.74448242,23.90692139,63.8,293.37,0.93
3200,598.47,24.11257825,35.33531397,63.9,288.72,1
3200,599.32,24.65285645,46.9574707,63.3,287.73,1.28
3200,698.29,22.39201878,0.06487187,75.9,278.28,0.86
3200,703.78,21.86561033,12.59319982,76.8,277.45,0.86
3200,699.85,22.02137128,24.17521273,76.4,275.22,0.85
3200,700.51,23.05751953,35.69044189,76.1,273.46,0.89
3200,700.04,23.83466797,47.32148438,75.8,272.1,1.02
3200,799.59,21.24206543,0.003942871,88.8,270.94,0.88
3200,798.97,20.68310547,5.995593262,88.9,270.71,0.8
3200,791.36,20.4302002,11.77486572,88.1,270.49,1.25
3200,797.34,20.94016113,24.08780518,88.8,267.72,0.95
3200,796.69,18.87443848,35.6213623,88.4,269.39,1.24
3200,798.53,17.23305664,47.21409912,88.3,271.36,1.89
3200,900.61,20.36921387,0.056640625,100.8,261.68,0.93
3200,903.37,20.79506836,12.37293701,101.2,260.38,0.79
3200,903.28,19.53995501,23.54293818,101.2,259.43,0.85
3200,900.77,17.79005282,34.87892459,100.8,260.29,1.09
3200,901.05,16.16577148,47.91690674,100.1,263.72,2.24
3200,1000.43,17.44001858,0.006015258,113.4,260.92,1.04
3200,999.53,15.88382727,12.24662559,113.4,261.43,1.15
3200,997.24,15.10318858,24.13045286,113.5,260.37,1.21
3200,1002.67,13.28361816,35.57952881,113.8,263.17,1.82
3200,1000.83,14.33008118,47.15356025,113.8,262.8,1.81
3200,1103.41,16.25620117,0.073779297,124.8,257.13,1.19
3200,1100.81,15.89881651,13.71137764,124.5,255.89,1.04
3200,1103.92,14.2413439,24.95201242,125.1,256.71,1.26
3200,1102.73,13.15732422,36.4145752,125.1,257.05,1.63
3200,1098.68,12.8510498,48.06021729,125.5,258.69,2.2
3200,1197.11,13.1545166,0.021691895,137.3,259.12,1.46
3200,1208.32,13.20473633,12.03917236,138.6,256.59,1.43
3200,1198.27,11.96429969,24.20292938,137.9,257.28,1.55
3200,1197.21,10.6826829,35.86318955,137.5,259.78,2
